SP500,GOLD,IYR
1984.13,1233,70.95
1998.98,1235.2,71.48
2001.57,1223.25,71.43
2011.36,1225.45,70.91
2010.4,1216.45,70.95
1994.29,1215.05,70.32
1982.77,1222.95,69.92
1998.3,1217.05,69.22
1965.99,1222.62,68.88
1982.85,1219.51,69.64
1977.8,1215.95,69.62
1972.29,1209.24,69.2
1946.16,1213.65,69.24
1946.17,1213.5,69.13
1967.9,1191.2,69.6
1964.82,1207.15,69.69
1935.1,1209,69.28
1968.89,1221.7,70.6
1928.21,1224.15,70.51
1906.13,1223.48,70.41
1874.74,1237.15,70.29
1877.7,1232.75,71.35
1862.49,1241.07,70.85
1862.76,1239.1,71.04
1886.76,1238.19,71.4
1904.01,1246.6,72.42
1941.28,1249.3,73.11
1927.11,1241.03,73.08
1950.82,1232.15,73.63
1964.58,1231.46,73.66
1961.63,1225.4,74.1
1985.05,1228.4,74.34
1982.3,1211.8,73.79
1994.65,1198.9,74.42
2018.05,1174.42,74.98
2017.81,1165.35,75.56
2012.1,1168.3,75.65
2023.57,1141.4,75.65
2031.21,1141.2,75.33
2031.92,1176.65,75.27
2038.26,1150.6,75.61
2039.68,1164.8,75.42
2038.25,1160.92,75.03
2039.33,1161.96,75.33
2039.82,1188.25,74.87
2041.32,1186.55,75.15
2051.8,1197.55,75.51
2048.72,1183.3,75.04
2052.75,1193.75,75.25
2063.5,1201.4,75.8
2069.41,1197.4,76.02
2067.03,1201.19,76.23
2072.83,1197.9,76.8
